Embedding Model,Infection Precision,Infection Recall,Infection F1-score,PPI Precision,PPI Recall,PPI F1-score,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score,AUC macro,AUC weighted
IMSP,0.818181818,0.9,0.857142857,0.834782609,1,0.909952607,0.976817043,0.979002103,0.976817043,0.977278995,0.997468567,0.996577682
IMSP,1,1,1,0.858490566,0.947916667,0.900990099,0.98245614,0.983256423,0.98245614,0.982673564,0.998757157,0.998319399
IMSP,0.692307692,0.75,0.72,0.941860465,0.861702128,0.9,0.971804511,0.971878795,0.971804511,0.971375427,0.997688982,0.997056615
IMSP,0.923076923,1,0.96,0.786407767,0.84375,0.814070352,0.967418546,0.968515333,0.967418546,0.967791168,0.997179142,0.996196961
IMSP,1,0.8,0.888888889,0.919191919,0.947916667,0.933333333,0.975502513,0.97533623,0.975502513,0.975227844,0.997099527,0.996090385
IMSP,0.9,0.9,0.9,0.9,0.9375,0.918367347,0.977443609,0.977813098,0.977443609,0.977533802,0.997996081,0.9972781
IMSP,1,1,1,0.870588235,0.770833333,0.817679558,0.971177945,0.970422137,0.971177945,0.970578167,0.997853607,0.997289325
IMSP,1,1,1,0.884210526,0.893617021,0.888888889,0.979323308,0.979357258,0.979323308,0.979329819,0.998350908,0.997655053
IMSP,1,1,1,0.867346939,0.885416667,0.87628866,0.971804511,0.97192214,0.971804511,0.971855738,0.997302778,0.996363833
IMSP,0.777777778,0.7,0.736842105,0.87037037,0.979166667,0.921568627,0.977386935,0.97804488,0.977386935,0.977367166,0.996966522,0.996519262
IMSP,0.909090909,1,0.952380952,0.954545455,0.875,0.913043478,0.979949875,0.979805214,0.979949875,0.97969905,0.998780552,0.998324205
IMSP,0.9,0.9,0.9,0.805555556,0.90625,0.852941176,0.973057644,0.974339329,0.973057644,0.973468483,0.996872247,0.995827396
IMSP,0.846153846,0.916666667,0.88,0.903614458,0.79787234,0.847457627,0.968045113,0.967728078,0.968045113,0.967371418,0.997496657,0.996551528
IMSP,0.923076923,1,0.96,0.891089109,0.9375,0.913705584,0.980576441,0.980896634,0.980576441,0.980671429,0.998301946,0.997675892
IMSP,0.909090909,1,0.952380952,0.901098901,0.854166667,0.877005348,0.971733668,0.972080968,0.971733668,0.971009233,0.998778835,0.998328175
IMSP,0.818181818,0.9,0.857142857,0.909090909,0.625,0.740740741,0.959273183,0.958654806,0.959273183,0.95709019,0.997549346,0.996664068
IMSP,0.888888889,0.8,0.842105263,0.888888889,0.916666667,0.902564103,0.979949875,0.980078944,0.979949875,0.979981975,0.998049869,0.99737046
IMSP,0.909090909,0.833333333,0.869565217,0.879120879,0.85106383,0.864864865,0.964285714,0.964124859,0.964285714,0.963684987,0.997559515,0.996626395
IMSP,0.705882353,1,0.827586207,0.917647059,0.8125,0.861878453,0.971804511,0.972357012,0.971804511,0.971483724,0.998028887,0.997396785
IMSP,1,0.8,0.888888889,0.912087912,0.864583333,0.887700535,0.97298995,0.972692253,0.97298995,0.972651161,0.997518948,0.996667132
IMSP,0.857142857,0.6,0.705882353,0.888888889,0.916666667,0.902564103,0.974310777,0.974263896,0.974310777,0.973906954,0.997241694,0.996563547
IMSP,1,0.9,0.947368421,0.86407767,0.927083333,0.894472362,0.974310777,0.974775181,0.974310777,0.974453511,0.997665703,0.996863863
IMSP,0.846153846,0.916666667,0.88,0.839622642,0.946808511,0.89,0.973684211,0.974716166,0.973684211,0.973944698,0.998394825,0.997806562
IMSP,0.909090909,0.833333333,0.869565217,0.85106383,0.833333333,0.842105263,0.968045113,0.968208701,0.968045113,0.967997919,0.995863136,0.994687933
IMSP,0.909090909,1,0.952380952,0.857142857,0.875,0.865979381,0.976130653,0.976437382,0.976130653,0.976118635,0.998160791,0.997486572
